순번,등록일자,지역,유형,장프,티켓구분,공연명,단체명,공연기간,공연장소
291,2019-06-10,서울,공연,연극,무료티켓,[서울]묵적지수(객석나눔),(재)서울문화재단 남산예술센터,2019-06-26~2019-07-05,남산예술센터 드라마센터
292,2019-06-11,인천,공연,클래식,무료티켓,[인천]박상원과 함께하는 브런치 콘서트 - 내 인생의 다시 봄! 조르바와 춤추고 돈키호테와 모험하라!(객석나눔),(재)인천광역시부평구문화재단,2019-06-27~2019-06-27,부평아트센터 해누리극장
293,2019-06-26,부산,공연,연극,할인티켓,[부산]국민연극<라이어 1탄> - in KNN시어터,(주)디오르골씨어터컴퍼니,2019-06-27~2019-09-01,KNN시어터
294,2019-06-17,서울,공연,콘서트,할인티켓,"[서울]2018-9 '만9,900원의 행복' 서영은 콘서트<시즌3>",(주)늘픔이엔티,2019-06-28~2019-06-29,올림픽공원 우리금융아트홀
295,2019-06-21,서울,공연,오페라,무료티켓,[서울]오페라<돈 조반니>(객석나눔),(재)구로문화재단,2019-06-28~2019-06-29,구로아트밸리 예술극장
296,2019-06-10,대전,공연,콘서트,할인티켓,"[대전]2019 ‘만9,900원의 행복’ 이현우 콘서트",(주)늘픔이엔티,2019-06-29~2019-06-29,충남대학교 정심화홀
297,2019-06-12,경북,공연,콘서트,할인티켓,[대구]2019 먼데이키즈 전국투어콘서트 <발라드맛집>,주식회사 조은라인,2019-06-29~2019-06-29,영남대학교 천마아트센터 그랜드홀 
298,2019-05-31,광주,공연,아동극,무료티켓,[광주]2019 어린이율동놀이뮤지컬<호비쇼>(객석나눔),(주)화랑엔터테인먼트,2019-06-29~2019-06-30,광주 5.18 기념문화센터 민주홀
299,2019-05-31,광주,공연,아동극,할인티켓,[광주]2019 어린이율동놀이뮤지컬<호비쇼>,(주)화랑엔터테인먼트,2019-06-29~2019-06-30,광주 5.18 기념문화센터 민주홀
300,2019-06-19,서울,공연,발레/무용,무료티켓,[서울]국립무용단<묵향>(객석나눔),국립중앙극장,2019-06-29~2019-06-30,예술의전당 오페라극장
301,2019-06-14,서울,공연,연극,무료티켓,[서울]<죽어야 사는 남자>(객석나눔),위로팩토리,2019-06-29~2019-08-31,대학로 업스테이지(UP STAGE)
302,2019-06-14,서울,공연,연극,할인티켓,[서울]<죽어야 사는 남자>,위로팩토리,2019-06-29~2019-08-31,대학로 업스테이지(UP STAGE)
303,2019-06-03,서울,공연,클래식,무료티켓,[서울]김기량 피아노 독주회(객석나눔),가온클래식,2019-07-02~2019-07-02,금호아트홀 연세
304,2019-06-03,서울,공연,클래식,할인티켓,[서울]김기량 피아노 독주회,가온클래식,2019-07-02~2019-07-02,금호아트홀 연세
305,2019-06-24,서울,공연,연극,무료티켓,[서울]헬! 스파르타 연극<자메이카 헬스클럽>(객석나눔),내유외강,2019-07-02~2019-08-30,대학로 해피씨어터
306,2019-06-14,서울,공연,클래식,무료티켓,[서울]김민욱 귀국 클라리넷 독주회(객석나눔),가온클래식,2019-07-04~2019-07-04,예술의전당 리사이틀홀
307,2019-06-20,서울,공연,국악,무료티켓,[서울]제2회 마포국악페스티벌 <온고지신> 개막공연 - 경계를 넘어(객석나눔),(재)마포문화재단,2019-07-04~2019-07-04,마포아트센터 아트홀맥
308,2019-06-20,서울,공연,국악,할인티켓,[서울]제2회 마포국악페스티벌 <온고지신> 개막공연 - 경계를 넘어,(재)마포문화재단,2019-07-04~2019-07-04,마포아트센터 아트홀맥
309,2019-02-28,서울,공연,국악,무료티켓,[서울]2019 국립국악원 정악단 기획공연<정가 깊이 듣기>(객석나눔),국립국악원,2019-07-04~2019-07-05,국립국악원 우면당
310,2019-06-27,서울,공연,아동극,무료티켓,[서울]어린이과학뮤지컬<참 잘했어요>(객석나눔),콘텐츠79,2019-07-05~2019-08-02,윤당아트홀 1관
